technology_id,layer_order,layer_name,material_name,thickness_nm,doping_type,doping_cm3,role
TECH_08,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_08,3,absorber,a-Si:H,500.0,p,100000000000000.0,absorber
TECH_08,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_09,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_09,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_09,3,absorber,µc-Si:H,2000.0,p,1000000000000000.0,absorber
TECH_09,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_10,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_10,2,ETL,SnO2/TiO2/C60,30.0,n,1e+18,electron_transport
TECH_10,3,absorber,"FA/Cs Pb(I,Br)3",600.0,i,1000000000000000.0,absorber
TECH_10,4,HTL,Spiro-OMeTAD/PTAA/NiOx,30.0,p,1e+18,hole_transport
TECH_10,5,back_contact,Au/Ag/Cu/ITO,100.0,metal,0.0,back_contact
TECH_11,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_11,2,ETL,SnO2/TiO2/C60,30.0,n,1e+18,electron_transport
TECH_11,3,absorber,Perovskite + c-Si,160000.0,i,1000000000000000.0,absorber
TECH_11,4,HTL,Spiro-OMeTAD/PTAA/NiOx,30.0,p,1e+18,hole_transport
TECH_11,5,back_contact,Au/Ag/Cu/ITO,100.0,metal,0.0,back_contact
TECH_12,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_12,2,ETL,SnO2/TiO2/C60,30.0,n,1e+18,electron_transport
TECH_12,3,absorber,wide+narrow perovskites,1000.0,i,1000000000000000.0,absorber
TECH_12,4,HTL,Spiro-OMeTAD/PTAA/NiOx,30.0,p,1e+18,hole_transport
TECH_12,5,back_contact,Au/Ag/Cu/ITO,100.0,metal,0.0,back_contact
TECH_13,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_13,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_13,3,absorber,polymer:NFA,150.0,i,10000000000000.0,absorber
TECH_13,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_14,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_14,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_14,3,absorber,donor:acceptor organic,100.0,i,10000000000000.0,absorber
TECH_14,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_15,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_15,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_15,3,absorber,TiO2+dye+electrolyte,10000.0,i,1000000000000000.0,absorber
TECH_15,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_16,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_16,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_16,3,absorber,PbS,400.0,i,1000000000000000.0,absorber
TECH_16,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_17,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_17,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_17,3,absorber,CsPbI3 QDs,500.0,i,1000000000000000.0,absorber
TECH_17,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_18,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_18,2,window,AlInP/GaInP,30.0,n,1e+18,window
TECH_18,3,absorber,GaAs,3000.0,p/n,1e+17,absorber
TECH_18,4,back_contact,Ge/Au/Ni,200.0,metal,0.0,back_contact
TECH_19,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_19,2,window,AlInP/GaInP,30.0,n,1e+18,window
TECH_19,3,absorber,InP,3000.0,p/n,1e+17,absorber
TECH_19,4,back_contact,Ge/Au/Ni,200.0,metal,0.0,back_contact
TECH_20,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_20,2,window,AlInP/GaInP,30.0,n,1e+18,window
TECH_20,3,absorber,GaInP/GaAs/Ge,5000.0,p/n,1e+17,absorber
TECH_20,4,back_contact,Ge/Au/Ni,200.0,metal,0.0,back_contact
TECH_21,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_21,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_21,3,absorber,"Cu2ZnSn(S,Se)4",2000.0,p,1000000000000000.0,absorber
TECH_21,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_22,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_22,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_22,3,absorber,Sb2Se3,1000.0,p,1000000000000000.0,absorber
TECH_22,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_23,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_23,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_23,3,absorber,Cu2O,2000.0,i,1000000000000000.0,absorber
TECH_23,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_24,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_24,2,transport_layer,ETL/HTL,40.0,mixed,1e+16,transport
TECH_24,3,absorber,BiOI,500.0,i,1000000000000000.0,absorber
TECH_24,4,back_contact,metal/carbon,100.0,metal,0.0,back_contact
TECH_25,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_25,2,ETL,SnO2/TiO2/C60,30.0,n,1e+18,electron_transport
TECH_25,3,absorber,Ruddlesden-Popper/3D perovskite,600.0,i,1000000000000000.0,absorber
TECH_25,4,HTL,Spiro-OMeTAD/PTAA/NiOx,30.0,p,1e+18,hole_transport
TECH_25,5,back_contact,Au/Ag/Cu/ITO,100.0,metal,0.0,back_contact
TECH_26,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_26,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_26,3,absorber,CdSeTe,3000.0,p,1000000000000000.0,absorber
TECH_26,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
TECH_27,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_27,2,ETL,SnO2/TiO2/C60,30.0,n,1e+18,electron_transport
TECH_27,3,absorber,GaInP/GaAs/Si,150000.0,i,1000000000000000.0,absorber
TECH_27,4,HTL,Spiro-OMeTAD/PTAA/NiOx,30.0,p,1e+18,hole_transport
TECH_27,5,back_contact,Au/Ag/Cu/ITO,100.0,metal,0.0,back_contact
TECH_28,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_28,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_28,3,absorber,n-Si + tunnel oxide/poly-Si,150000.0,p/n,1e+16,absorber
TECH_28,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_29,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_29,2,emitter/passivation,SiNx/Al2O3/a-Si/poly-Si,10.0,p/n,1e+18,passivation
TECH_29,3,absorber,c-Si + a-Si:H,150000.0,p/n,5000000000000000.0,absorber
TECH_29,4,back_contact,Al/Ag/Cu,500.0,metal,0.0,back_contact
TECH_30,1,front_contact_or_TCO,ITO/FTO/Ag grid,80.0,n,1e+20,front_contact
TECH_30,2,window/buffer,"CdS/Zn(O,S)/i-ZnO",50.0,n,1e+17,buffer
TECH_30,3,absorber,"Cu(In,Ga)Se2",2000.0,p,500000000000000.0,absorber
TECH_30,4,back_contact,Mo/metal,500.0,metal,0.0,back_contact
