technology_id,bandgap_eV,electron_affinity_eV,ionization_energy_eV,conduction_band_min_eV,valence_band_max_eV,dielectric_constant,refractive_index,extinction_coefficient,absorption_coefficient_cm-1,optical_penetration_depth_um,urbach_energy_eV,electron_mobility_cm2Vs,hole_mobility_cm2Vs,carrier_lifetime_ns,defect_density_cm-3,diffusion_length_um,mu_tau_product_cm2_V,voc_loss_V,recombination_factor_cm3_ns,thermal_conductivity_WmK,moisture_sensitivity_score,uv_stability_score,ion_migration_score,phase_stability_score,source_url,confidence_score
TECH_11,1.68,3.9,5.58,-3.9,-5.58,25.0,2.3,0.5,150000.0,0.06666666666666667,0.085,20.0,15.0,1000.0,1000000000000000.0,6.705371985292296,1.7500000000000002e-05,-0.07000000000000006,1000000000000.0,100.0,4,5,4,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_12,1.75,3.9,5.65,-3.9,-5.65,25.0,2.3,0.5,150000.0,0.06666666666666667,0.09,20.0,15.0,800.0,2000000000000000.0,5.997467029414517,1.4000000000000001e-05,-0.050000000000000044,2500000000000.0,0.5,6,3,6,3,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_13,1.6,3.7,5.300000000000001,-3.7,-5.300000000000001,3.5,1.8,0.1,80000.0,0.125,0.2,0.01,0.001,10.0,1e+16,0.01188735400177817,5.5e-11,0.8500000000000001,1000000000000000.0,0.2,6,4,0,3,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_14,1.7,3.6,5.3,-3.6,-5.3,3.2,1.8,0.1,70000.0,0.14285714285714285,0.2,0.005,0.001,8.0,1e+16,0.007852527611512564,2.4e-11,0.8999999999999999,1250000000000000.0,0.2,6,4,0,3,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_15,1.8,4.0,5.8,-4.0,-5.8,30.0,2.4,0.2,50000.0,0.2,0.15,0.1,0.001,1000.0,1e+16,0.36020483694600447,5.05e-08,1.1,10000000000000.0,8.0,6,5,2,4,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_16,1.3,4.2,5.5,-4.2,-5.5,18.0,3.0,0.3,100000.0,0.1,0.08,0.1,0.01,100.0,1e+16,0.11887354001778173,5.5000000000000004e-09,0.7000000000000001,100000000000000.0,2.0,5,4,1,4,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_17,1.73,3.8,5.529999999999999,-3.8,-5.529999999999999,20.0,2.3,0.3,100000.0,0.1,0.08,1.0,0.1,100.0,1e+16,0.37591113998336295,5.500000000000001e-08,0.78,100000000000000.0,0.5,6,3,5,3,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_18,1.42,4.07,5.49,-4.07,-5.49,13.1,3.6,0.5,100000.0,0.1,0.007,8500.0,400.0,100000.0,1000000000000.0,1069.2613201968256,0.445,0.3699999999999999,10000000.0,55.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_19,1.34,4.38,5.72,-4.38,-5.72,12.5,3.2,0.4,80000.0,0.125,0.008,5400.0,200.0,50000.0,1000000000000.0,599.7467029414518,0.14,0.4600000000000001,20000000.0,68.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_20,1.85,4.0,5.85,-4.0,-5.85,13.0,3.5,0.5,100000.0,0.1,0.007,3000.0,200.0,100000.0,1000000000000.0,641.1561946440571,0.16,-0.6499999999999999,10000000.0,50.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_21,1.1,4.3,5.4,-4.3,-5.4,9.0,2.5,0.4,100000.0,0.1,0.08,10.0,5.0,1000.0,1000000000000000.0,4.389696383634038,7.5e-06,0.55,1000000000000.0,4.0,3,5,0,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_22,1.2,4.1,5.3,-4.1,-5.3,15.0,3.0,0.3,100000.0,0.1,0.07,10.0,5.0,1000.0,1000000000000000.0,4.389696383634038,7.5e-06,0.75,1000000000000.0,1.0,3,5,0,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_23,2.0,3.2,5.2,-3.2,-5.2,7.6,2.8,0.2,10000.0,1.0,0.1,100.0,50.0,100.0,1e+16,4.389696383634038,7.5e-06,1.3,100000000000000.0,5.0,2,7,0,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_24,1.8,4.0,5.8,-4.0,-5.8,20.0,2.2,0.3,100000.0,0.1,0.1,1.0,1.0,50.0,1e+16,0.35841720885479955,5.0000000000000004e-08,1.2000000000000002,200000000000000.0,1.0,4,4,1,4,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_25,1.6,3.9,5.5,-3.9,-5.5,20.0,2.2,0.4,120000.0,0.08333333333333333,0.08,10.0,8.0,800.0,500000000000000.0,4.301006506257595,7.2000000000000005e-06,0.55,625000000000.0,0.4,4,5,4,5,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_26,1.42,4.0,5.42,-4.0,-5.42,10.2,2.3,0.5,100000.0,0.1,0.04,300.0,40.0,10000.0,100000000000000.0,66.08886782591308,0.0017000000000000001,0.5599999999999999,10000000000.0,6.5,2,7,0,8,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_27,1.8,4.05,5.85,-4.05,-5.85,12.0,3.5,0.5,100000.0,0.1,0.008,1000.0,100.0,50000.0,1000000000000.0,265.80931620580145,0.0275,0.0,20000000.0,100.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_28,1.12,4.05,5.17,-4.05,-5.17,11.7,3.45,0.01,10000.0,1.0,0.055,1400.0,500.0,1200000.0,5000000000.0,1711.418715497304,1.1400000000000001,0.40000000000000013,4166.666666666667,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_29,1.12,4.05,5.17,-4.05,-5.17,11.7,3.5,0.015,10000.0,1.0,0.05,1450.0,520.0,1500000.0,4000000000.0,1948.3527825002536,1.4775,0.3800000000000001,2666.6666666666665,148.0,1,9,0,9,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_30,1.15,4.5,5.65,-4.5,-5.65,13.6,2.4,0.4,100000.0,0.1,0.03,80.0,20.0,30000.0,50000000000000.0,62.07968160435385,0.0015,0.46999999999999986,1666666666.6666667,8.0,2,6,0,6,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
